sewershed_ID,date,reported_cases_by_week,Rt_qPCR_N1_average_copies_per_ml_wastewater,ratio_Rt_qPCR_N1_over_Rt_qPCR_PMMoV,ratio_Rt_N1_qPCR_N1_over_flow_millions_gallons_per_day,population_size
total,2020-08-03,475,NA,NA,NA,327179
total,2020-08-10,1112,NA,NA,NA,677029
total,2020-08-17,1081,41.539378514463266,4.262510663057034e-4,4.9527838133818385,765417
total,2020-08-24,918,171.3270952245622,1.886345929314904e-4,9.68263062170037,765417
total,2020-08-31,842,11.84118395899179,9.443216444548588e-5,0.4023612490899194,765417
total,2020-09-07,842,38.88379557868706,1.4228111313417335e-4,1.3997293337701295,765417
total,2020-09-14,961,39.19901695948551,0.00318704470560557,2.4693396564597876,765417
total,2020-09-21,1040,120.56860599545205,0.00598859021128263,5.450380660480734,765417
total,2020-09-28,1203,7.797088838096335,1.173840467395838e-5,0.7187905776282691,765417
total,2020-10-05,1470,23.399138989641695,2.4588771291416662e-5,NA,765417
total,2020-10-12,1625,27.54206299920668,3.3610168024858816e-5,2.947215456197193,765417
total,2020-10-19,1925,19.62679346106059,3.778052567505511e-5,1.0648765896073165,765417
total,2020-10-26,2497,86.52272259947584,9.057999141497024e-5,3.322059980520638,765417
total,2020-11-02,3280,125.28335471964024,0.00124869220612899,6.398992082328462,765417
total,2020-11-09,3655,57.65053313306718,8.570040258309537e-4,4.637621371853463,765417
total,2020-11-16,3277,115.96037453278626,4.369046326673917e-4,7.603284773344079,765417
total,2020-11-23,3248,105.65490069960735,3.0665884530819943e-4,5.208584074609767,765417
total,2020-11-30,3102,118.98128974874132,4.7820513247279553e-4,4.362923254145679,765417
total,2020-12-07,2741,155.10239025292825,2.0796125758339184e-4,8.809861608108035,765417
total,2020-12-14,2128,91.44518932143971,3.069806829992526e-4,5.584473473487739,765417
total,2020-12-21,2284,NA,NA,NA,765417
total,2020-12-28,3078,NA,NA,NA,765417
total,2021-01-04,3256,49.79290053808375,5.087256004038918e-4,2.4801688981619097,765417
total,2021-01-11,2960,72.45137724458002,4.3379422218345137e-4,3.0678120381277214,765417
total,2021-01-18,2379,51.20879080549481,1.1483151815261324e-4,3.3405812729667397,765417
total,2021-01-25,2274,269.08397894896035,6.015220178468433e-4,6.39762463430178,765417
total,2021-02-01,1925,50.78605590602266,6.668140092916986e-5,2.2616543824037563,765417
total,2021-02-08,1522,53.54286290087604,3.043017522164766e-4,2.572338212885891,765417
total,2021-02-15,1205,33.46800557964372,1.904086146916941e-4,2.2175119440289905,765417
total,2021-02-22,1027,57.17655548914073,2.2508812157099304e-4,1.868055569507602,765417
total,2021-03-01,835,30.195155287048244,3.1978954329183254e-4,0.6194808627236127,765417
total,2021-03-08,660,40.651642183399346,2.9564718749627687e-4,1.6464034192077843,765417
total,2021-03-15,676,17.043742001610617,1.138014190685441e-4,0.7286000991005562,765417
total,2021-03-22,504,56.649694307112725,2.661329510308382e-4,0.8558051764895889,645760
2,2020-08-03,439,NA,NA,NA,295910
5,2020-08-03,36,NA,NA,NA,31269
1,2020-08-10,592,NA,NA,NA,349850
2,2020-08-10,501,NA,NA,NA,295910
5,2020-08-10,19,NA,NA,NA,31269
1,2020-08-17,501,25.119213042880837,7.78654722140013e-4,0.3285585095404669,349850
2,2020-08-17,433,32.41959413000283,1.2190526751782948e-4,0.7560425087656564,295910
3,2020-08-17,81,174.01507567765694,1.2547324463518358e-4,38.811432864682615,55928
4,2020-08-17,34,43.853962876591346,1.3785041439064725e-4,15.16348160092431,32460
5,2020-08-17,32,72.2086704042273,2.0091394318817564e-4,25.246274736439805,31269
1,2020-08-24,452,54.88049425435881,1.8216457493350335e-4,0.706727809858655,349850
2,2020-08-24,347,343.17303789719307,2.235667770456899e-4,8.290479709757516,295910
3,2020-08-24,42,50.26025641226783,5.3626947384668495e-5,10.721347873038898,55928
4,2020-08-24,50,156.0783456176116,1.0355199559852108e-5,53.04504020671206,32460
5,2020-08-24,27,80.30758793309374,3.569933477477312e-4,76.41114069600702,31269
1,2020-08-31,414,11.657196144268186,1.0807747252983278e-4,0.1375428391056461,349850
2,2020-08-31,321,14.257106985611015,1.0535828467960312e-4,0.21753987237522432,295910
3,2020-08-31,50,6.443476004095688,3.063332926128244e-5,0.8476071026003803,55928
4,2020-08-31,32,5.913835993723694,2.2756964164719557e-5,1.2285128727733832,32460
5,2020-08-31,25,6.8444485222393485,2.688152270796291e-5,3.4602979441151875,31269
1,2020-09-07,374,32.67139779455627,1.9493261416960277e-4,0.49241925985072554,349850
2,2020-09-07,305,55.444862704573325,1.2022919888794685e-4,1.4087262338815614,295910
3,2020-09-07,56,24.04569098577446,3.2381983477498117e-5,5.3038307660793285,55928
4,2020-09-07,80,10.699923671186376,3.103586225532374e-5,3.5726446958757414,32460
5,2020-09-07,27,7.464050378873861,7.392950848809812e-5,2.2273457937974017,31269
1,2020-09-14,427,33.466479463021,1.0265359639914296e-4,0.5787695178426924,349850
2,2020-09-14,380,48.741677280640246,1.7300077684083182e-4,1.493563070587118,295910
3,2020-09-14,69,27.80605776519829,0.00197624437258439,7.259646886558446,55928
4,2020-09-14,58,44.54149287214148,0.06828312992516498,18.736419366899376,32460
5,2020-09-14,27,27.862814369012384,8.095680774740175e-4,7.401262722593837,31269
1,2020-09-21,451,171.72948039841282,0.01186132270728874,3.1694915924806444,349850
2,2020-09-21,401,85.75477856885499,0.00118660182364776,2.7923667157363243,295910
3,2020-09-21,64,54.12194976688589,8.409552616246483e-4,15.100172422028956,55928
4,2020-09-21,80,59.255401515181646,5.650943142053097e-4,27.219796174976764,32460
5,2020-09-21,44,60.11201866964476,5.622741903322417e-4,16.26534646011423,31269
1,2020-09-28,490,6.246065106372956,1.8170993224561977e-5,0.1129210268385232,349850
2,2020-09-28,515,8.47564743581372,4.204053834491899e-6,0.2522614221540652,295910
3,2020-09-28,90,8.345148387472218,2.355182468765902e-6,2.1660968421856635,55928
4,2020-09-28,63,16.623404207183825,2.8033814496646565e-5,7.503973825063903,32460
5,2020-09-28,45,8.586346778382174,1.0935197060200466e-5,2.280148848255334,31269
1,2020-10-05,553,11.995418577379324,1.9404791635259352e-5,0.23328660459480993,349850
2,2020-10-05,681,30.909381954556594,1.882673213996819e-5,NA,295910
3,2020-10-05,129,22.576654996058437,1.171654767489507e-5,6.368992104379165,55928
4,2020-10-05,67,86.51370421031547,1.5130827679982878e-4,40.58749544424474,32460
5,2020-10-05,40,15.868891402960902,2.8594747230318336e-5,4.402413657480025,31269
1,2020-10-12,657,15.583530174507016,1.2229099015055731e-5,0.29692189326923313,349850
2,2020-10-12,704,32.861042652907216,5.412995027202167e-5,1.1383995930474335,295910
3,2020-10-12,125,87.57955589224267,6.815951446277531e-5,25.207817471486784,55928
4,2020-10-12,77,18.88738536589441,3.852014735599984e-5,9.107096541448042,32460
5,2020-10-12,62,12.604181162571448,1.1751600486818576e-5,3.507233861539012,31269
1,2020-10-19,816,11.366160718710992,2.2510539597129467e-5,0.11579483758247304,349850
2,2020-10-19,823,24.87072526871688,4.846056995126714e-5,0.44860037589965646,295910
3,2020-10-19,147,50.11822090583928,7.728565603586801e-5,7.281766237057476,55928
4,2020-10-19,83,14.639595874724542,3.535475116168044e-5,4.592173062301058,32460
5,2020-10-19,56,13.064715467786808,3.941698470709908e-5,2.734399044367421,31269
1,2020-10-26,999,70.15004301875946,1.2977400119534347e-4,0.6791772685930998,349850
2,2020-10-26,1096,95.68064084303715,4.396855869195344e-5,1.324988547482448,295910
3,2020-10-26,186,139.17257574106148,8.815064089096283e-5,16.293815360174058,55928
4,2020-10-26,118,63.859186442441455,6.321186438736587e-5,13.593595746141386,32460
5,2020-10-26,98,112.39882228338404,1.259185968973027e-4,17.926541693810922,31269
1,2020-11-02,1420,35.92405785282939,0.00109281622820323,0.8215517878294163,349850
2,2020-11-02,1287,236.79583159930056,0.00157233107079603,5.455155506246764,295910
3,2020-11-02,268,159.55911198489787,8.507028039491467e-4,30.91839056835035,55928
4,2020-11-02,188,47.909006424921074,9.9469165656611e-4,18.73740445905656,32460
5,2020-11-02,117,88.80280749103508,9.055038584885624e-4,21.069508695715527,31269
1,2020-11-09,1478,34.58044314433485,7.745014477138445e-4,0.5745557480976226,349850
2,2020-11-09,1490,66.28332618576337,8.77693450903502e-4,1.5564581361424734,295910
3,2020-11-09,355,107.0156374728975,5.2074473706099e-4,20.03117412198063,55928
4,2020-11-09,208,73.26560792028945,0.00138853537192814,25.97472981397533,32460
5,2020-11-09,124,129.56790520199823,0.00163394352466573,29.572136812380226,31269
1,2020-11-16,1352,78.65949099033014,2.912687539952658e-4,1.1363944570436473,349850
2,2020-11-16,1352,149.11038167929863,5.738882455691618e-4,3.8804987443446897,295910
3,2020-11-16,307,146.5451838374924,5.297463816742556e-4,27.745221886750908,55928
4,2020-11-16,145,118.00273861524718,4.568508711152078e-4,46.11031535919949,32460
5,2020-11-16,121,162.762419359724,5.83247113117949e-4,39.18775243471577,31269
1,2020-11-23,1298,76.74686873992293,2.724483801267544e-4,1.031617257150252,349850
2,2020-11-23,1320,134.15128906689608,3.221599476339182e-4,2.708821501522419,295910
3,2020-11-23,344,133.2747165727313,4.1529582636189166e-4,20.41019435569725,55928
4,2020-11-23,135,126.09246287631544,3.606405163396162e-4,35.56884968425785,32460
5,2020-11-23,151,88.80064789085674,2.9237971698540025e-4,16.891935080419078,31269
1,2020-11-30,1214,51.78657116786027,3.5852681069462603e-4,0.525615918395342,349850
2,2020-11-30,1323,208.05786880639403,5.479112127393473e-4,3.6145810799646543,295910
3,2020-11-30,302,92.71429486949395,5.263332976207845e-4,12.207793013125194,55928
4,2020-11-30,142,83.05967870708095,8.378396447542371e-4,23.11751357069007,32460
5,2020-11-30,121,112.0894086713184,6.981445732404884e-4,20.87774709305723,31269
1,2020-12-07,1113,112.12346030373236,2.303622481261044e-4,1.8345691725688675,349850
2,2020-12-07,1125,201.276140986906,1.9431839800813333e-4,5.279492885679273,295910
3,2020-12-07,227,249.34900734342636,2.186253262636623e-4,49.430098289016954,55928
4,2020-12-07,164,70.30999245627424,1.1312939033170052e-4,27.584111762553736,32460
5,2020-12-07,112,118.46036444068152,1.658075082913283e-4,28.118336779174935,31269
1,2020-12-14,846,48.68737282301024,2.401386907583367e-4,0.6873873487531283,349850
2,2020-12-14,891,134.22532075414537,3.4962301632540714e-4,3.1893213033187857,295910
3,2020-12-14,197,112.99856456766857,3.3033073492728617e-4,18.95466275766744,55928
4,2020-12-14,115,114.18803922775552,4.068034198764679e-4,40.253928607215215,32460
5,2020-12-14,79,102.8329321655832,5.059064685273015e-4,23.137212591678356,31269
1,2020-12-21,902,NA,NA,NA,349850
2,2020-12-21,960,NA,NA,NA,295910
3,2020-12-21,205,NA,NA,NA,55928
4,2020-12-21,132,NA,NA,NA,32460
5,2020-12-21,85,NA,NA,NA,31269
1,2020-12-28,1226,NA,NA,NA,349850
2,2020-12-28,1283,NA,NA,NA,295910
3,2020-12-28,282,NA,NA,NA,55928
4,2020-12-28,158,NA,NA,NA,32460
5,2020-12-28,129,NA,NA,NA,31269
1,2021-01-04,1345,30.961510637066414,5.427114102632349e-4,0.3471144351777705,349850
2,2021-01-04,1352,68.18280320486981,4.553678801033875e-4,1.295325778800283,295910
3,2021-01-04,264,72.57472772508056,5.888545297531777e-4,11.019790763286032,55928
4,2021-01-04,162,45.58560672349599,4.1386189292181056e-4,14.477264294936983,32460
5,2021-01-04,133,50.07536512119864,5.885801726336563e-4,9.83014309219815,31269
1,2021-01-11,1173,103.53529914807729,3.5860672278777665e-4,1.5759639628242126,349850
2,2021-01-11,1272,42.078479865108505,5.249333922437416e-4,1.029007773229179,295910
3,2021-01-11,284,74.4290754835966,6.434431085880013e-4,13.856001882179534,55928
4,2021-01-11,129,21.522521192266584,2.632151182957086e-4,8.205440574462248,32460
5,2021-01-11,102,61.43330650254351,2.146349796236885e-4,14.423989571259952,31269
1,2021-01-18,973,46.42550764961521,1.4062449730582415e-4,0.7421286039996121,349850
2,2021-01-18,997,52.959283198147354,9.823508754564808e-5,1.3625820838431255,295910
3,2021-01-18,225,65.52110141427471,6.4761332581147e-5,12.322648784486889,55928
4,2021-01-18,106,67.99243513747851,1.2466979380361954e-4,26.439270491495037,32460
5,2021-01-18,78,45.138478529139,6.265047415266204e-5,11.087739240090436,31269
1,2021-01-25,928,218.7372145166829,4.832319786567445e-4,1.973948999315188,349850
2,2021-01-25,957,364.9084601281204,7.978671571933421e-4,4.551723978539774,295910
3,2021-01-25,203,198.4346615610769,4.659882946842926e-4,19.788506603830132,55928
4,2021-01-25,97,100.90620347086106,2.049860211278342e-4,21.425953160790144,32460
5,2021-01-25,89,226.5088702405172,7.20968388027144e-4,33.80811403866395,31269
1,2021-02-01,765,36.28906384892112,5.1840982487388434e-5,0.3608369186711921,349850
2,2021-02-01,817,60.85859887783914,8.440970302191622e-5,0.936066170138436,295910
3,2021-02-01,182,78.41789195337653,8.35313557666353e-5,9.813412288469385,55928
4,2021-02-01,87,45.79025456290907,5.3304479687431645e-5,11.96379887011812,32460
5,2021-02-01,74,73.42754957476235,4.870094453304943e-5,12.494455921839675,31269
1,2021-02-08,563,40.60314252162996,2.6370003296634966e-4,0.4342364458785516,349850
2,2021-02-08,688,61.94693864669791,3.152862542188477e-4,1.0465797151204506,295910
3,2021-02-08,160,73.07655187065178,2.651972802034188e-4,9.596696534493352,55928
4,2021-02-08,68,28.83759091357052,2.5037571402018694e-4,8.562107148020191,32460
5,2021-02-08,43,109.49489503300082,7.80542169330332e-4,22.151342607524914,31269
1,2021-02-15,441,15.52002320457627,1.373932915201415e-4,0.1967105689791357,349850
2,2021-02-15,545,49.32723108025544,2.4266741013681124e-4,1.0434650596213109,295910
3,2021-02-15,120,49.59938511054091,1.810665543174404e-4,8.284282470366396,55928
4,2021-02-15,53,58.936847249633765,3.145493233379999e-4,20.30338259896384,32460
5,2021-02-15,46,28.903862851044735,1.768612035610296e-4,6.311658580316833,31269
1,2021-02-22,412,32.33669868902356,1.303801176209804e-4,0.27825133389722684,349850
2,2021-02-22,464,89.1081434757412,3.4659290615750375e-4,1.484839894287015,295910
3,2021-02-22,87,52.56170480708702,2.1652426132691828e-4,6.148331778588922,55928
4,2021-02-22,29,51.809304195244714,2.10070254347606e-4,10.178542925357604,32460
5,2021-02-22,35,46.74027822897298,1.6578190521355482e-4,6.999164811581947,31269
1,2021-03-01,313,32.506588484669884,3.261702080004268e-4,0.280459041387478,349850
2,2021-03-01,367,33.66085336730575,3.8510027158027165e-4,0.46437880136544263,295910
3,2021-03-01,89,6.442084390295778,5.763099347529835e-5,0.7538380262800142,55928
4,2021-03-01,40,19.086458338444533,2.083678885483956e-4,4.083288764337156,32460
5,2021-03-01,26,25.553511133040104,2.149053810537499e-4,2.044326660196663,31269
1,2021-03-08,282,27.79317768614763,3.1828595421620585e-4,0.25213242482309844,349850
2,2021-03-08,305,49.13332356569458,2.8292939261090496e-4,0.7119770600447625,295910
3,2021-03-08,39,91.71146169741796,2.633364748572652e-4,11.097324665201828,55928
4,2021-03-08,16,29.12071320381777,1.321586983479681e-4,7.388365075270909,32460
5,2021-03-08,18,24.896096288926145,3.902156112319895e-4,3.2242157100916713,31269
1,2021-03-15,293,14.45364130703963,1.4465563097710974e-4,0.1314489501657728,349850
2,2021-03-15,277,16.81602874623944,7.586400230095045e-5,0.33365290393479924,295910
3,2021-03-15,53,42.87928366218552,1.5426199813636273e-4,4.953052568239252,55928
4,2021-03-15,32,10.147328640245885,6.569375456853913e-5,2.73302425862721,32460
5,2021-03-15,21,9.127171631909352,1.0517979647275104e-4,1.5106324015121784,31269
1,2021-03-22,247,77.22605447299257,3.759765672302448e-4,0.7129063568259556,349850
2,2021-03-22,257,32.32256915408286,1.362664743069614e-4,1.0247523295405911,295910
